Glasser ROI,Brain Region,Network,x-MNI,y-MNI,z-MNI,Mean Coeff,σ Coeff
DIENCEPHALON_VENTRAL,,subcortex,,,,0.05,0.05
PUTAMEN_LEFT,,subcortex,,,,0.03,0.05
PUTAMEN_RIGHT,,subcortex,,,,0.03,0.04
CEREBELLUM_LEFT,,subcortex,,,,0.02,0.05
CAUDATE_RIGHT,,subcortex,,,,0.01,0.06
PALLIDUM_LEFT,,subcortex,,,,0.01,0.02
BRAIN_STEM,,subcortex,,,,0.0,0.03
ACCUMBENS_LEFT,,subcortex,,,,-0.01,0.03
HIPPOCAMPUS_RIGHT,,subcortex,,,,-0.04,0.06
HIPPOCAMPUS_LEFT,,subcortex,,,,-0.06,0.06
ACCUMBENS_RIGHT,,subcortex,,,,-0.07,0.08
R_52,Early_Auditory,Auditory,38,-21,2,0.06,0.08
L_52,Early_Auditory,Auditory,-40,-21,-1,0.04,0.06
L_A4,Auditory_Association,Auditory,-65,-22,6,0.02,0.05
R_A1,Early_Auditory,Auditory,44,-21,10,0.02,0.04
L_A1,Early_Auditory,Auditory,-46,-24,10,-0.02,0.05
R_A4,Auditory_Association,Auditory,64,-14,5,-0.02,0.04
L_MBelt,Early_Auditory,Auditory,-47,-15,2,-0.03,0.06
R_TA2,Auditory_Association,Auditory,50,4,-8,-0.06,0.07
R_PBelt,Early_Auditory,Auditory,57,-18,8,-0.08,0.07
L_RI,Early_Auditory,Auditory,-41,-36,19,-0.08,0.08
R_LBelt,Early_Auditory,Auditory,48,-24,9,-0.08,0.09
R_MBelt,Early_Auditory,Auditory,46,-14,3,-0.08,0.08
L_LBelt,Early_Auditory,Auditory,-47,-27,8,-0.09,0.08
L_PBelt,Early_Auditory,Auditory,-55,-26,8,-0.1,0.09
L_TA2,Auditory_Association,Auditory,-51,4,-8,-0.15,0.18
L_TPOJ3,Temporo-Parieto-Occipital_Junction,Posterior_Multimodal,-44,-72,20,0.07,0.07
L_TPOJ2,Temporo-Parieto-Occipital_Junction,Posterior_Multimodal,-53,-64,15,0.03,0.05
R_TPOJ3,Temporo-Parieto-Occipital_Junction,Posterior_Multimodal,45,-61,20,0.03,0.07
R_TPOJ2,Temporo-Parieto-Occipital_Junction,Posterior_Multimodal,56,-57,10,0.01,0.02
L_PCV,Posterior_Cingulate,Posterior_Multimodal,-6,-50,48,-0.04,0.07
R_STV,Temporo-Parieto-Occipital_Junction,Posterior_Multimodal,59,-44,20,-0.19,0.17
R_PCV,Posterior_Cingulate,Posterior_Multimodal,5,-52,50,-0.34,0.49
L_V1,Primary_Visual,Visual1,-10,-85,0,0.04,0.06
R_DVT,Posterior_Cingulate,Visual1,18,-69,33,0.03,0.04
L_ProS,Posterior_Cingulate,Visual1,-23,-55,3,0.03,0.06
R_V1,Primary_Visual,Visual1,12,-81,2,0.02,0.04
R_ProS,Posterior_Cingulate,Visual1,20,-48,2,-0.0,0.06
L_DVT,Posterior_Cingulate,Visual1,-18,-73,32,-0.03,0.04
R_pOFC,Anterior_Cingulate_and_Medial_Prefrontal,Orbito-Affective,12,13,-19,0.14,0.11
L_AAIC,Insular_and_Frontal_Opercular,Orbito-Affective,-36,14,-11,0.08,0.09
L_pOFC,Anterior_Cingulate_and_Medial_Prefrontal,Orbito-Affective,-14,11,-20,0.04,0.07
R_Pir,Insular_and_Frontal_Opercular,Orbito-Affective,32,7,-19,0.0,0.02
R_AAIC,Insular_and_Frontal_Opercular,Orbito-Affective,35,15,-12,-0.03,0.05
L_Pir,Insular_and_Frontal_Opercular,Orbito-Affective,-33,5,-18,-0.04,0.07
L_TF,Medial_Temporal,Ventral_Multimodal,-42,-21,-31,0.07,0.12
R_PeEc,Medial_Temporal,Ventral_Multimodal,27,-9,-35,-0.01,0.05
R_TF,Medial_Temporal,Ventral_Multimodal,40,-20,-31,-0.05,0.06
L_PeEc,Medial_Temporal,Ventral_Multimodal,-30,-9,-34,-0.08,0.11
